column,dtype,n_total,n_non_missing,n_missing,n_unique,top_value,top_count,top_pct,second_value,second_count,second_pct,predominance_threshold_pct,is_one_value_predominant
np_07,category,1700,1682,18,2,0.0,1681,99.94054696789536,1.0,1,0.05945303210463733,99.0,True
nr_07,category,1700,1679,21,2,0.0,1678,99.94044073853485,1.0,1,0.05955926146515784,99.0,True
ritm_ecg_p_06,category,1700,1548,152,2,0.0,1547,99.93540051679587,1.0,1,0.06459948320413438,99.0,True
fibr_ter_08,category,1700,1690,10,2,0.0,1688,99.88165680473374,1.0,2,0.1183431952662722,99.0,True
np_01,category,1700,1682,18,2,0.0,1680,99.88109393579072,1.0,2,0.11890606420927466,99.0,True
np_09,category,1700,1682,18,2,0.0,1680,99.88109393579072,1.0,2,0.11890606420927466,99.0,True
n_r_ecg_p_09,category,1700,1585,115,2,0.0,1583,99.87381703470032,1.0,2,0.12618296529968456,99.0,True
n_r_ecg_p_10,category,1700,1585,115,2,0.0,1583,99.87381703470032,1.0,2,0.12618296529968456,99.0,True
n_p_ecg_p_01,category,1700,1585,115,2,0.0,1583,99.87381703470032,1.0,2,0.12618296529968456,99.0,True
n_p_ecg_p_05,category,1700,1585,115,2,0.0,1583,99.87381703470032,1.0,2,0.12618296529968456,99.0,True
np_04,category,1700,1682,18,2,0.0,1679,99.82164090368609,1.0,3,0.178359096313912,99.0,True
np_10,category,1700,1682,18,2,0.0,1679,99.82164090368609,1.0,3,0.178359096313912,99.0,True
fibr_ter_05,category,1700,1690,10,2,0.0,1686,99.76331360946745,1.0,4,0.2366863905325444,99.0,True
nr_01,category,1700,1679,21,2,0.0,1675,99.76176295413937,1.0,4,0.23823704586063135,99.0,True
nr_08,category,1700,1679,21,2,0.0,1675,99.76176295413937,1.0,4,0.23823704586063135,99.0,True
n_r_ecg_p_08,category,1700,1585,115,2,0.0,1581,99.74763406940063,1.0,4,0.2523659305993691,99.0,True
n_p_ecg_p_04,category,1700,1585,115,2,0.0,1580,99.6845425867508,1.0,5,0.31545741324921134,99.0,True
fibr_ter_07,category,1700,1690,10,2,0.0,1684,99.64497041420118,1.0,6,0.35502958579881655,99.0,True
np_08,category,1700,1682,18,2,0.0,1676,99.64328180737218,1.0,6,0.356718192627824,99.0,True
n_p_ecg_p_08,category,1700,1585,115,2,0.0,1578,99.5583596214511,1.0,7,0.4416403785488959,99.0,True
SVT_POST,category,1700,1688,12,2,0.0,1680,99.52606635071089,1.0,8,0.47393364928909953,99.0,True
GT_POST,category,1700,1688,12,2,0.0,1680,99.52606635071089,1.0,8,0.47393364928909953,99.0,True
n_r_ecg_p_02,category,1700,1585,115,2,0.0,1577,99.49526813880126,1.0,8,0.5047318611987383,99.0,True
zab_leg_04,category,1700,1693,7,2,0.0,1684,99.46839929119905,1.0,9,0.531600708800945,99.0,True
fibr_ter_06,category,1700,1690,10,2,0.0,1681,99.46745562130177,1.0,9,0.5325443786982248,99.0,True
n_p_ecg_p_09,category,1700,1585,115,2,0.0,1575,99.36908517350159,1.0,10,0.6309148264984227,99.0,True
np_05,category,1700,1682,18,2,0.0,1671,99.346016646849,1.0,11,0.6539833531510106,99.0,True
endocr_03,category,1700,1690,10,2,0.0,1677,99.23076923076923,1.0,13,0.7692307692307693,99.0,True
fibr_ter_01,category,1700,1690,10,2,0.0,1677,99.23076923076923,1.0,13,0.7692307692307693,99.0,True
FIB_G_POST,category,1700,1688,12,2,0.0,1673,99.11137440758294,1.0,15,0.8886255924170616,99.0,True
fibr_ter_02,category,1700,1690,10,2,0.0,1674,99.05325443786982,1.0,16,0.9467455621301776,99.0,True
nr_02,category,1700,1679,21,2,0.0,1660,98.868374032162,1.0,19,1.1316259678379987,99.0,False
PREDS_TAH,category,1700,1700,0,2,0.0,1680,98.82352941176471,1.0,20,1.1764705882352942,99.0,False
zab_leg_06,category,1700,1693,7,2,0.0,1671,98.7005316007088,1.0,22,1.299468399291199,99.0,False
ritm_ecg_p_04,category,1700,1548,152,2,0.0,1525,98.51421188630492,1.0,23,1.4857881136950903,99.0,False
n_p_ecg_p_06,category,1700,1585,115,2,0.0,1558,98.29652996845427,1.0,27,1.7034700315457414,99.0,False
nr_04,category,1700,1679,21,2,0.0,1650,98.27278141751043,1.0,29,1.7272185824895772,99.0,False
n_p_ecg_p_11,category,1700,1585,115,2,0.0,1557,98.23343848580441,1.0,28,1.7665615141955835,99.0,False
TIKL_S_n,category,1700,1684,16,2,0.0,1654,98.2185273159145,1.0,30,1.7814726840855106,99.0,False
n_r_ecg_p_06,category,1700,1585,115,2,0.0,1553,97.98107255520505,1.0,32,2.018927444794953,99.0,False
n_p_ecg_p_03,category,1700,1585,115,2,0.0,1553,97.98107255520505,1.0,32,2.018927444794953,99.0,False
nr_03,category,1700,1679,21,2,0.0,1644,97.91542584871948,1.0,35,2.084574151280524,99.0,False
n_p_ecg_p_10,category,1700,1585,115,2,0.0,1551,97.85488958990535,1.0,34,2.145110410094637,99.0,False
zab_leg_03,category,1700,1693,7,2,0.0,1656,97.8145304193739,1.0,37,2.1854695806261075,99.0,False
GIPER_NA,category,1700,1325,375,2,0.0,1295,97.73584905660377,1.0,30,2.2641509433962264,99.0,False
JELUD_TAH,category,1700,1700,0,2,0.0,1658,97.52941176470588,1.0,42,2.4705882352941173,99.0,False
endocr_02,category,1700,1690,10,2,0.0,1648,97.51479289940829,1.0,42,2.485207100591716,99.0,False
nr_11,category,1700,1679,21,2,0.0,1637,97.49851101846338,1.0,42,2.501488981536629,99.0,False
K_SH_POST,category,1700,1685,15,2,0.0,1639,97.27002967359051,1.0,46,2.7299703264094957,99.0,False
IM_PG_P,category,1700,1699,1,2,0.0,1649,97.05709240729841,1.0,50,2.942907592701589,99.0,False
ritm_ecg_p_08,category,1700,1548,152,2,0.0,1502,97.02842377260981,1.0,46,2.9715762273901807,99.0,False
RAZRIV,category,1700,1700,0,2,0.0,1646,96.82352941176471,1.0,54,3.176470588235294,99.0,False
A_V_BLOK,category,1700,1700,0,2,0.0,1643,96.6470588235294,1.0,57,3.3529411764705883,99.0,False
SIM_GIPERT,category,1700,1692,8,2,0.0,1635,96.63120567375887,1.0,57,3.368794326241135,99.0,False
n_r_ecg_p_01,category,1700,1585,115,2,0.0,1527,96.34069400630915,1.0,58,3.659305993690852,99.0,False
fibr_ter_03,category,1700,1690,10,2,0.0,1622,95.97633136094674,1.0,68,4.023668639053255,99.0,False
FIBR_JELUD,category,1700,1700,0,2,0.0,1629,95.82352941176471,1.0,71,4.176470588235294,99.0,False
n_r_ecg_p_04,category,1700,1585,115,2,0.0,1516,95.64668769716089,1.0,69,4.353312302839116,99.0,False
DRESSLER,category,1700,1700,0,2,0.0,1625,95.58823529411765,1.0,75,4.411764705882353,99.0,False
n_r_ecg_p_05,category,1700,1585,115,2,0.0,1515,95.58359621451105,1.0,70,4.416403785488959,99.0,False
NA_R_3_n,category,1700,1569,131,3,0.0,1493,95.15615041427661,1.0,60,3.824091778202677,99.0,False
n_p_ecg_p_12,category,1700,1585,115,2,0.0,1507,95.0788643533123,1.0,78,4.921135646687698,99.0,False
NOT_NA_3_n,category,1700,1569,131,3,0.0,1474,93.94518801784577,1.0,57,3.632887189292543,99.0,False
ritm_ecg_p_02,category,1700,1548,152,2,0.0,1453,93.86304909560724,1.0,95,6.136950904392765,99.0,False
n_p_ecg_p_07,category,1700,1585,115,2,0.0,1483,93.56466876971609,1.0,102,6.435331230283911,99.0,False
O_L_POST,category,1700,1688,12,2,0.0,1578,93.48341232227489,1.0,110,6.516587677725119,99.0,False
R_AB_3_n,category,1700,1572,128,4,0.0,1469,93.44783715012723,1.0,86,5.470737913486006,99.0,False
MP_TP_POST,category,1700,1686,14,2,0.0,1572,93.23843416370107,1.0,114,6.761565836298933,99.0,False
zab_leg_02,category,1700,1693,7,2,0.0,1572,92.8529238038984,1.0,121,7.147076196101594,99.0,False
NA_R_2_n,category,1700,1592,108,4,0.0,1474,92.58793969849246,1.0,87,5.464824120603015,99.0,False
zab_leg_01,category,1700,1693,7,2,0.0,1559,92.08505611340814,1.0,134,7.914943886591849,99.0,False
NOT_NA_2_n,category,1700,1590,110,4,0.0,1454,91.44654088050315,1.0,95,5.9748427672955975,99.0,False
P_IM_STEN,category,1700,1700,0,2,0.0,1552,91.29411764705883,1.0,148,8.705882352941176,99.0,False
OTEK_LANC,category,1700,1700,0,2,0.0,1541,90.64705882352942,1.0,159,9.352941176470589,99.0,False
REC_IM,category,1700,1700,0,2,0.0,1541,90.64705882352942,1.0,159,9.352941176470589,99.0,False
FIBR_PREDS,category,1700,1700,0,2,0.0,1530,90.0,1.0,170,10.0,99.0,False
ZSN_A,category,1700,1646,54,5,0.0,1468,89.18590522478736,1.0,103,6.257594167679223,99.0,False
R_AB_2_n,category,1700,1592,108,4,0.0,1414,88.81909547738694,1.0,133,8.35427135678392,99.0,False
NITR_S,category,1700,1691,9,2,0.0,1496,88.46836191602601,1.0,195,11.53163808397398,99.0,False
B_BLOK_S_n,category,1700,1689,11,2,0.0,1474,87.27057430432208,1.0,215,12.729425695677914,99.0,False
n_r_ecg_p_03,category,1700,1585,115,2,0.0,1381,87.12933753943217,1.0,204,12.870662460567821,99.0,False
endocr_01,category,1700,1689,11,2,0.0,1461,86.50088809946715,1.0,228,13.49911190053286,99.0,False
post_im,category,1700,1628,72,5,0.0,1370,84.15233415233415,1.0,157,9.643734643734645,99.0,False
LET_IS,category,1700,1700,0,8,0.0,1429,84.05882352941177,1.0,110,6.470588235294119,99.0,False
TRENT_S_n,category,1700,1684,16,2,0.0,1343,79.75059382422803,1.0,341,20.249406175771973,99.0,False
ritm_ecg_p_07,category,1700,1548,152,2,0.0,1195,77.19638242894057,1.0,353,22.80361757105943,99.0,False
ZSN,category,1700,1700,0,2,0.0,1306,76.8235294117647,1.0,394,23.176470588235293,99.0,False
R_AB_1_n,category,1700,1684,16,4,0.0,1282,76.12826603325415,1.0,298,17.695961995249405,99.0,False
ASP_S_n,category,1700,1683,17,2,1.0,1252,74.39096850861556,0.0,431,25.60903149138443,99.0,False
NOT_NA_1_n,category,1700,1690,10,5,0.0,1237,73.19526627218936,1.0,376,22.24852071005917,99.0,False
LID_S_n,category,1700,1690,10,2,0.0,1211,71.65680473372781,1.0,479,28.343195266272193,99.0,False
GEPAR_S_n,category,1700,1683,17,2,1.0,1203,71.4795008912656,0.0,480,28.520499108734406,99.0,False
NOT_NA_KB,category,1700,1014,686,2,1.0,701,69.13214990138067,0.0,313,30.867850098619332,99.0,False
ANT_CA_S_n,category,1700,1687,13,2,1.0,1125,66.68642560758742,0.0,562,33.31357439241256,99.0,False
ritm_ecg_p_01,category,1700,1548,152,2,1.0,1029,66.47286821705426,0.0,519,33.52713178294574,99.0,False
NA_R_1_n,category,1700,1695,5,5,0.0,1108,65.36873156342183,1.0,409,24.129793510324486,99.0,False
SEX,category,1700,1700,0,2,1.0,1065,62.64705882352941,0.0,635,37.35294117647059,99.0,False
IBS_NASL,category,1700,72,1628,2,0.0,45,62.5,1.0,27,37.5,99.0,False
INF_ANAM,category,1700,1696,4,4,0.0,1060,62.5,1.0,410,24.17452830188679,99.0,False
LID_KB,category,1700,1023,677,2,0.0,627,61.29032258064516,1.0,396,38.70967741935484,99.0,False
GIPO_K,category,1700,1331,369,2,0.0,797,59.87978963185575,1.0,534,40.12021036814426,99.0,False
NA_KB,category,1700,1043,657,2,1.0,618,59.25215723873441,0.0,425,40.74784276126558,99.0,False
inf_im,category,1700,1620,80,5,0.0,937,57.839506172839506,1.0,195,12.037037037037036,99.0,False
FK_STENOK,category,1700,1627,73,5,2.0,854,52.48924400737553,0.0,661,40.626920712968655,99.0,False
GB,category,1700,1691,9,4,2.0,880,52.040212891780016,0.0,605,35.77764636309876,99.0,False
lat_im,category,1700,1620,80,5,1.0,838,51.72839506172839,0.0,576,35.55555555555556,99.0,False
STENOK_AN,category,1700,1594,106,7,0.0,661,41.46800501882058,6.0,332,20.82810539523212,99.0,False
IBS_POST,category,1700,1649,51,3,2.0,683,41.41904184354154,1.0,548,33.232261976955726,99.0,False
ant_im,category,1700,1617,83,5,0.0,660,40.816326530612244,4.0,492,30.426716141001855,99.0,False
DLIT_AG,category,1700,1452,248,8,0.0,551,37.94765840220386,7.0,432,29.75206611570248,99.0,False
D_AD_ORIT,Int64,1700,1433,267,20,80.0,502,35.03140265177949,90.0,302,21.07466852756455,99.0,False
D_AD_KBRIG,Int64,1700,624,1076,21,80.0,167,26.76282051282051,90.0,154,24.679487179487182,99.0,False
KFK_BLOOD,float64,1700,4,1696,4,1.8,1,25.0,1.4,1,25.0,99.0,False
TIME_B_S,category,1700,1574,126,9,2.0,360,22.87166454891995,9.0,269,17.090216010165186,99.0,False
AST_BLOOD,float64,1700,1415,285,58,0.15,271,19.151943462897528,0.22,169,11.943462897526501,99.0,False
S_AD_ORIT,Int64,1700,1433,267,32,130.0,242,16.88764829030007,120.0,220,15.352407536636429,99.0,False
ALT_BLOOD,float64,1700,1416,284,69,0.15,230,16.242937853107346,0.3,210,14.83050847457627,99.0,False
NA_BLOOD,float64,1700,1325,375,40,136.0,214,16.150943396226413,140.0,186,14.037735849056604,99.0,False
S_AD_KBRIG,Int64,1700,624,1076,30,140.0,91,14.583333333333334,130.0,77,12.339743589743591,99.0,False
ROE,float64,1700,1497,203,58,5.0,134,8.95123580494322,3.0,126,8.41683366733467,99.0,False
K_BLOOD,float64,1700,1329,371,51,4.0,101,7.599699021820918,3.8,91,6.847253574115876,99.0,False
AGE,Int64,1700,1692,8,62,63.0,90,5.319148936170213,65.0,81,4.787234042553192,99.0,False
L_BLOOD,float64,1700,1575,125,174,6.9,32,2.0317460317460316,8.0,30,1.9047619047619049,99.0,False
