model,precision_count,precision_mean,precision_std,precision_min,precision_25%,precision_50%,precision_75%,precision_max
DESKL,100.0,0.1596670160445053,0.0016657955207305673,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164
DecisionTreeClassifier,100.0,0.164283248986885,0.011927544377909818,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1635882200981658,0.2212389380530973
Exponential,100.0,0.1596670160445053,0.001665795520730567,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164
KNORAE,100.0,0.16193677700491352,0.004523387511041672,0.1493506493506493,0.16,0.1612903225806451,0.1644736842105263,0.1798561151079136
LogisticRegression,100.0,0.20285822585312696,0.016924928477841866,0.1655629139072847,0.19047825584085123,0.20246635239461636,0.2155172413793103,0.2574257425742574
METADES,100.0,0.1596670160445053,0.0016657955207305673,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164
MLA,100.0,0.1639199479816655,0.007671780941113609,0.1538461538461538,0.1592356687898089,0.1612903225806451,0.1656050955414012,0.1965811965811965
RandomForestClassifier,100.0,0.1596670160445053,0.0016657955207305673,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164
SGDClassifier,100.0,0.22944676266770364,0.06632397481384532,0.1633986928104575,0.18030237464164,0.1953125,0.27180631868131866,0.4358974358974359
StackingClassifier,100.0,0.2676074086845156,0.02684917008645892,0.2142857142857142,0.24739496729852561,0.26477952427319507,0.2844967532467533,0.3380281690140845
VotingClassifier,100.0,0.15967749737966616,0.0016998241963442073,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1656050955414012
XGBClassifier,100.0,0.2504941899195517,0.03534604225627316,0.176056338028169,0.22504136789851073,0.25257841573631046,0.27112299465240636,0.3582089552238806
