model,average_cost_count,average_cost_mean,average_cost_std,average_cost_min,average_cost_25%,average_cost_50%,average_cost_75%,average_cost_max
DESKL,100.0,0.8403329839554948,0.0016657955207305922,0.8354430379746836,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.8417721518987342
DecisionTreeClassifier,100.0,0.8242251874546482,0.04976320679077086,0.5605095541401274,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.9044585987261148
Exponential,100.0,0.8403329839554949,0.0016657955207305924,0.8354430379746836,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.8417721518987342
KNORAE,100.0,0.8330738531000564,0.03756554895824718,0.7261146496815286,0.8152866242038217,0.8280254777070064,0.8407643312101911,0.9620253164556962
LogisticRegression,100.0,0.6627122470370073,0.07201348809197007,0.4746835443037974,0.6050955414012739,0.6624203821656051,0.7197452229299363,0.8152866242038217
METADES,100.0,0.8403329839554949,0.0016657955207305924,0.8354430379746836,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.8417721518987342
MLA,100.0,0.8288857534467468,0.041875107148135714,0.6835443037974683,0.8089171974522293,0.8343949044585988,0.8407643312101911,0.9490445859872612
RandomForestClassifier,100.0,0.8403329839554949,0.0016657955207305924,0.8354430379746836,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.8417721518987342
SGDClassifier,100.0,0.6760783681367412,0.11191253853664243,0.4012738853503185,0.6009735547851326,0.6984197371603644,0.7531847133757963,0.9872611464968152
StackingClassifier,100.0,0.5339901636700798,0.09183092702826039,0.3566878980891719,0.464968152866242,0.5286624203821656,0.5939490445859872,0.759493670886076
VotingClassifier,100.0,0.8402696928162543,0.001949534400759472,0.8291139240506329,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.8417721518987342
XGBClassifier,100.0,0.5558308473756349,0.09735434885388912,0.3375796178343949,0.4904458598726114,0.5443037974683544,0.6247984358622913,0.8037974683544303
