model,recall_count,recall_mean,recall_std,recall_min,recall_25%,recall_50%,recall_75%,recall_max
DESKL,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
DecisionTreeClassifier,100.0,0.9952,0.02148431422167712,0.88,1.0,1.0,1.0,1.0
Exponential,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
KNORAE,100.0,0.9939999999999999,0.017407765595569783,0.92,1.0,1.0,1.0,1.0
LogisticRegression,100.0,0.985676923076923,0.02690826099161689,0.88,0.9615384615384616,1.0,1.0,1.0
METADES,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
MLA,100.0,0.9944461538461539,0.014958984028195855,0.92,1.0,1.0,1.0,1.0
RandomForestClassifier,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
SGDClassifier,100.0,0.9332615384615386,0.11777889466880938,0.4,0.92,1.0,1.0,1.0
StackingClassifier,100.0,0.9011692307692307,0.07213741792391894,0.64,0.84,0.92,0.96,1.0
VotingClassifier,100.0,0.9984153846153846,0.0078032558272932585,0.96,1.0,1.0,1.0,1.0
XGBClassifier,100.0,0.9041384615384617,0.08545047964721038,0.72,0.84,0.92,1.0,1.0
