model,recall_count,recall_mean,recall_std,recall_min,recall_25%,recall_50%,recall_75%,recall_max
DESKL,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
DecisionTreeClassifier,100.0,0.9984000000000001,0.009715134501582486,0.92,1.0,1.0,1.0,1.0
Exponential,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
KNORAE,100.0,0.9932000000000001,0.022059607036986464,0.84,1.0,1.0,1.0,1.0
LogisticRegression,100.0,0.9872615384615383,0.026485921438135985,0.84,1.0,1.0,1.0,1.0
METADES,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
MLA,100.0,0.9840615384615384,0.03396216608405643,0.8,0.9903846153846154,1.0,1.0,1.0
RandomForestClassifier,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
SGDClassifier,100.0,0.8190615384615384,0.18730887950367975,0.32,0.71,0.84,1.0,1.0
StackingClassifier,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
VotingClassifier,100.0,0.9984000000000001,0.009715134501582486,0.92,1.0,1.0,1.0,1.0
XGBClassifier,100.0,0.9705538461538461,0.0417488814134797,0.8,0.96,1.0,1.0,1.0
